;"PC-1";"PC-2";"PC-3";"PC-4";"PC-5";"PC-6"
"101";0,0002672843;-0,0005130635;0,0001708068;0,000244085;5,084647E-05;7,643483E-05
"102";0,0003794854;-0,0007165813;0,000218847;0,0001250978;-1,038773E-05;9,191308E-05
"103";0,0003881701;-0,0004861724;0,0001716885;0,0001576221;2,351184E-05;9,32E-05
"104";0,0003037217;-0,0004599275;0,0001824305;0,0001645236;1,586705E-05;8,076598E-05
"105";0,0008838088;-0,00078298;0,0002537622;0,0002206719;1,781546E-06;0,0002182265
"106";0,0003058452;-0,0005858464;0,0001696742;0,0001754408;-1,063478E-06;8,37485E-05
"107";0,0002050131;-0,0005117675;0,0001952756;0,0001354643;7,534243E-06;3,644538E-05
"108";0,0004443762;-0,0004481718;0,0001861815;0,0002078801;1,863792E-05;0,0001271166
"109";0,0004232576;-0,0007446397;0,0002084542;0,0001864615;3,529904E-05;0,0001016121
"110";0,0004308381;-0,0003820198;0,0001673296;0,0001610051;3,846505E-05;9,423306E-05
"111";0,0001813084;-0,0002812811;0,0001302137;0,000160904;4,298197E-05;0,0001074873
"112";0,001028083;-0,0005547429;-4,13338E-05;-0,0001449647;0,0001945765;0,0001866471
"113";0,001088731;-0,0001913847;1,743745E-05;-0,0001074307;8,076317E-05;0,0002605834
"114";-0,0009234117;1,441264E-05;4,160621E-05;0,0001461515;3,116602E-05;-1,476825E-05
"115";-0,001067583;8,680078E-05;2,842643E-05;0,0001789115;5,446584E-05;1,816582E-05
"116";0,0008784478;-5,912586E-06;-5,921692E-05;9,564596E-06;0,0002024746;1,386543E-06
"117";0,0008730918;0,0001699105;-0,0001109624;-3,030318E-05;0,0002252561;-1,515351E-05
"118";-0,0002743652;0,0005308161;-8,634759E-05;0,0003180654;8,487409E-05;-0,0003197228
"119#1";-0,0002217822;0,000580588;-5,744678E-05;0,0003356032;0,0001387875;-0,0003811466
"120";-0,0008107482;-2,09209E-05;-9,644446E-06;5,350797E-05;0,0001007819;-4,047483E-05
"121";-0,0009091669;-5,977447E-05;2,651569E-06;3,926333E-05;6,880736E-05;-1,870011E-05
"122";0,0008777818;-0,0006661756;0,0001974812;-2,207818E-05;7,140572E-05;0,0001278539
"123";0,0008679589;-1,496481E-05;7,089287E-05;2,928044E-05;9,410379E-05;-4,749805E-05
"124";-0,0008748471;-0,000174615;0,0001200158;0,0001287531;2,10484E-05;-9,852096E-05
"125";-0,0007104991;-8,438457E-05;0,0001049067;0,0001619923;-1,776667E-05;-6,13996E-05
"126";-0,00106652;1,075189E-05;6,469654E-05;0,0001724462;0,0001255809;-5,936717E-05
"127";-0,001036177;8,435515E-05;2,893113E-05;0,0001782563;5,907742E-05;-1,182093E-05
"128";0,0008754789;-0,0002921552;0,0001135616;0,0002557765;3,846276E-05;-0,000121862
"129";0,0008995813;-0,0003009948;0,0001602808;0,0003566308;1,503768E-05;-0,000115951
"130#1";0,0007316509;0,0004522127;-4,255233E-05;0,0003054684;-6,623348E-05;-0,0004692301
"131";0,0007226937;0,0004871481;-6,147519E-05;0,0002801927;-7,235676E-05;-0,0003473804
"132";0,0007300346;0,001594078;-0,0004682399;0,0003851641;-0,0004484739;-0,001137798
"133";-0,005213414;0,0001381471;-1,293774E-05;-5,164242E-05;0,0001123598;2,89173E-05
"134";-0,006077379;-0,0001041701;4,840724E-05;-0,0001109546;9,623291E-05;-4,84433E-05
"136#1";-0,007644407;-0,0005801152;4,002186E-05;-0,0001696697;0,0002859496;1,938331E-05
"137";-0,004735502;0,0003255414;-8,662491E-05;-5,291087E-05;0,0001597489;0,000118213
"138";-0,004802854;0,0003099827;-7,837044E-05;-1,610494E-05;0,0002152708;0,0001383681
"139";-0,004930058;0,0002447091;-4,870779E-05;-8,652594E-05;8,953661E-05;7,31389E-05
"140";0,0007791977;0,0002032036;-0,0001227325;3,477866E-05;0,0001916543;-0,0002357909
"141";0,0007824853;0,0002306693;-9,060351E-05;5,038589E-05;0,0001145331;-0,0001120982
"142";0,0008649485;-0,0001100198;-3,55997E-05;2,123399E-05;0,0001996099;-7,342258E-05
"143";0,0008455379;6,804622E-06;-7,772302E-05;6,191595E-05;0,0001827301;-7,802124E-05
"144";0,0008540559;-7,448544E-05;0,0004272238;-0,0001562062;-0,000135223;0,0001432864
"145";0,0008579076;-0,0002278907;0,0004602851;-0,0001655198;-7,837536E-05;0,0001648473
"146";0,0006692205;-0,0003090054;0,0005137771;-0,0001257007;-9,897925E-05;0,0001256484
"147";0,0006999364;-0,0003173926;0,0004751714;-8,990158E-05;-6,754136E-05;9,222589E-05
"148";0,0007658093;-0,000389946;0,0005026758;-2,888184E-05;-5,509672E-05;0,0001175019
"149";0,0007718251;-0,000401896;0,0005036832;-6,838772E-05;2,735354E-05;2,896447E-05
"150";0,0009338251;-0,0007868345;0,0001315413;0,0001870334;0,0001308541;0,0001400051
"151";0,0009017118;-0,0002035118;-7,735633E-06;0,000116729;0,0001359495;-3,155343E-05
"152";0,000961882;-5,606141E-05;-1,355247E-05;8,285687E-05;1,652132E-05;-0,0002540837
"153#1";0,001018261;-0,0002720961;-3,318747E-05;2,852148E-05;-9,103226E-05;-0,0002096599
"154";0,0008987155;0,0005663789;-0,00021232;5,535499E-05;4,062724E-05;-0,0004003788
"155#1";0,0009497457;0,0005916457;-0,0002267816;-1,091092E-06;-2,951219E-05;-0,0002799769
"156";0,000827189;-0,0001114213;-9,806851E-05;1,719913E-05;0,0001697865;-0,0001173419
"157";0,0008614537;0,0001327581;-7,5135E-05;4,641661E-05;0,0001340358;-0,0001182698
"158";0,0008311075;-0,0001364432;-0,0001214138;-2,770437E-05;0,000227136;-0,0002299461
"159";0,0007566542;0,000217833;-0,0002008983;-8,284091E-06;0,0002793239;-0,0003325836
"160";0,00076926;0,0002543974;-0,000152475;3,076026E-05;0,0002664682;-0,0003391585
"162";0,0009101934;-2,530945E-05;-7,686012E-05;3,659229E-05;0,0001104537;-0,0001200006
"163";0,0008628459;-0,0003022001;-0,0001055938;5,484564E-05;0,0002174991;-0,0002324432
"164";0,0009793178;-0,0003198629;-6,301422E-06;0,0001114539;9,958698E-05;-5,416018E-05
"165";0,0009769066;-0,0003430661;-3,065519E-06;9,74316E-05;6,708409E-05;-9,541272E-06
"166#1";-0,001549898;0,0003736896;-9,325226E-05;5,299084E-05;0,0001123158;5,995226E-05
"167";-0,001211644;0,0004735705;-5,84153E-05;0,0001074453;0,0001201741;7,697866E-05
"168#1";-0,0009254643;-7,843723E-06;6,60528E-05;0,0001009907;9,204525E-05;-4,917717E-05
"169";-0,0009125375;1,836263E-05;4,960455E-05;9,10726E-05;6,786178E-05;-4,189787E-06
"170#1";0,0008858111;0,0002123053;0,0001310894;0,0003410467;-0,0001449877;0,0003360171
"171";0,0009231908;9,937512E-05;0,0002349037;0,0003858821;-7,665931E-05;0,0002751135
"172";-0,0002325267;-0,0001912668;0,0004776841;0,000976292;0,0001047828;0,000140165
"173";-0,0002183403;-1,186559E-05;0,0003891147;0,0009056423;6,716592E-05;0,000208185
"174";4,25514E-05;-0,0001638694;0,0002991352;0,0006616939;5,973026E-05;0,0001708817
"175";-0,000128925;-4,411882E-05;0,0003585189;0,0006992664;7,148136E-05;0,0001861584
"176";0,0004625978;0,00105396;-0,000214363;0,0001332767;-0,0005510051;-0,0003853836
"177#1";0,0004980944;0,001107523;-0,000219299;9,422032E-05;-0,0006249286;-0,0003255196
"178";-0,004451575;0,0003735647;-1,919715E-05;9,526215E-06;0,0001248057;8,322574E-05
"179";-0,00568091;1,448091E-05;4,036944E-06;-7,044846E-05;0,0001705284;0,0001180999
"180";-0,004844209;0,000253064;-7,088514E-06;-8,726674E-06;0,0001075102;1,099685E-05
"181#1";-0,003896342;0,0005521438;-6,424074E-05;3,392362E-05;7,390919E-05;9,443944E-05
"182";-0,004969662;0,0002137875;-6,878327E-05;-4,503695E-05;0,0001502479;9,139141E-05
"183";-0,004430373;0,0003954501;-2,211694E-06;1,216225E-05;0,0001093027;0,0001510073
"184";-0,001662318;8,668969E-05;2,409304E-05;0,0001321356;9,686079E-05;-8,979601E-05
"185";-0,0012165;0,0002168909;2,740587E-05;0,0001248361;9,102165E-05;-2,812468E-05
"186";-0,006395765;-0,0002169771;-4,166969E-05;-9,680111E-05;0,000177348;5,420882E-05
"187";-0,000115882;0,001147028;-9,560298E-05;0,0001784659;0,0001058293;0,0002460245
"188";-7,886982E-05;0,00117234;-7,970876E-05;0,0001791088;6,764742E-05;0,0002128469
"189";-0,0001600211;0,001173027;-8,728595E-05;0,0001699063;7,841936E-05;0,0002465036
"190";-0,0001253876;0,001166036;-8,823078E-05;0,0001820535;9,976891E-05;0,0001846035
"191";-0,000144388;0,001121577;-9,800744E-05;0,0001382937;9,424726E-05;0,0002370306
"192";-4,659659E-05;0,001076638;-7,14018E-05;0,000180237;9,967439E-05;0,0002550464
"193";-0,0001279207;0,001223004;-7,519725E-05;0,0001626997;9,782689E-05;0,0002485375
